,party,chlab,chbus,chmaj,chrep,chsafe,chfrosh,chprest,chvotrec,inlead
210,1,-32500,-65326,-1,0,-0.0901660919189453,-1,0,7.96731424331665,0
211,1,25375,44839,-1,0,-0.0940036773681641,-1,0,2.14504623413086,0
212,2,0,3950,1,0,0.100077152252197,-1,1,9.09090423583984,0
213,1,8800,28995,-1,0,-0.00628805160522461,0,0,2.91113471984863,0
214,2,0,121631,1,0,0.487662792205811,0,0,15.6281967163086,0
215,2,0,6953,1,0,-0.309750556945801,0,0,22.9826316833496,0
216,2,-3500,146280,1,0,0.338905334472656,0,0,14.3513793945312,0
217,2,2500,298906,1,0,0.301388740539551,0,0,9.80592346191406,0
218,1,-27820,13450,-1,0,-0.0236239433288574,0,0,-0.204290390014648,0
219,2,0,4200,1,0,0.00911426544189453,-1,0,13.1256408691406,0
220,1,-10550,-23750,-1,0,-0.00897312164306641,0,0,3.9836573600769,0
221,2,3000,248277,1,0,-0.0662422180175781,0,0,24.2083740234375,0
222,1,-41376,-66651,-1,0,-0.148973703384399,-1,0,-2.45148277282715,0
223,1,48300,-17298,-1,0,-0.26604700088501,0,0,6.79264450073242,0
224,2,1000,-18983,1,0,0.275675535202026,-1,1,11.8488311767578,0
225,2,0,500,1,0,0.162887096405029,0,0,14.606746673584,0
226,1,21240,24645,-1,0,-0.0836663246154785,0,0,15.8835525512695,0
227,2,0,9860,1,0,0.627509355545044,-1,0,17.7221603393555,0
228,2,1500,100551,1,0,0.0318832397460938,0,0,15.3217544555664,0
229,1,-11550,13397,-1,0,-0.0385582447052002,-1,0,4.44330978393555,0
230,1,25600,-1520,-1,0,-0.0667724609375,0,0,-3.47293281555176,0
231,1,9229,-10850,-1,0,0.00743675231933594,0,0,0.30643367767334,0
232,1,-12546,-14267,-1,0,0.0416207313537598,0,0,2.29826164245605,0
233,1,-8250,4200,-1,0,-0.212748527526855,-1,0,2.80899047851562,0
234,1,17017,-840,-1,0,0.0860106945037842,-1,0,4.18794631958008,0
235,2,3200,60400,1,0,0.0488696098327637,0,0,9.55056381225586,0
236,2,27,-3180,1,0,0.292695045471191,-1,0,11.3381042480469,0
237,2,14500,163486,1,0,0,0,0,11.64453125,0
238,2,18700,35806,1,0,-0.387473106384277,0,0,15.5771217346191,0
239,1,27609,-43069,-1,0,-0.00842666625976562,0,0,4.18794441223145,0
240,1,-5250,-70366,-1,0,-0.372296333312988,0,0,13.3810024261475,0
241,1,87077,59067,-1,0,-0.0941066741943359,0,0,7.15015602111816,0
242,1,31900,16701,-1,0,-0.0515921115875244,-1,0,3.47293090820312,0
243,2,500,17375,1,0,0.363771438598633,0,0,12.2063369750977,0
244,2,0,2000,1,0,0.564525604248047,0,0,10.4698715209961,0
245,2,15800,90450,1,0,0,0,0,17.4157333374023,0
246,2,0,-500,1,0,0.357195615768433,-1,0,25.536262512207,0
247,1,82297,77266,-1,0,-0.161116123199463,0,0,5.51583099365234,0
248,1,-11850,-4667,-1,0,-0.0228047370910645,-1,0,-2.09397315979004,0
249,2,22200,41947,1,0,0.304855346679688,0,0,-5.46475982666016,0
250,1,26900,-27571,-1,0,-0.163869380950928,0,0,5.5669059753418,0
251,1,57500,68214,-1,0,-0.139955520629883,0,-1,10.7762985229492,0
252,1,5650,74333,-1,0,-0.449385643005371,0,0,6.28192138671875,0
253,2,4500,126903,1,0,0,0,1,12.1552581787109,0
254,1,-1500,-4507,-1,0,-0.015446662902832,0,0,10.4698677062988,0
255,2,1000,254698,1,0,0.0743088722229004,0,0,12.3595581054688,0
256,2,-1000,23625,1,0,0,0,0,20.4800796508789,0
257,1,64000,75703,-1,0,-0.13005542755127,0,0,4.44330978393555,0
258,1,-24165,116332,0,1,-0.250166893005371,0,1,18.1818199157715,0
259,1,9000,76516,-1,0,-0.208128213882446,0,0,5.26046752929688,0
260,2,0,121250,1,0,0.249423503875732,0,0,29.8774261474609,0
261,1,7850,4600,-1,0,-0.469651699066162,0,0,17.7732372283936,0
262,2,2500,225,1,0,0.284407615661621,0,0,13.891731262207,0
263,2,15000,571683,1,0,0.0928421020507812,0,0,9.09091186523438,1
264,2,6037,58598,1,0,0.033048152923584,-1,0,13.1767120361328,0
265,1,180825,97337,-1,0,-0.123934984207153,0,0,2.09397315979004,0
266,2,0,303288,1,0,0.0556612014770508,0,0,0.153221130371094,0
267,1,21600,13270,-1,0,0.0487112998962402,0,0,5.92441177368164,0
268,1,24500,12337,-1,0,-0.328545570373535,-1,0,8.42696762084961,0
269,1,-6075,-49661,-1,0,0.12317943572998,-1,0,2.45148277282715,0
270,1,47900,20217,-1,0,-0.00164937973022461,-1,0,4.18794727325439,0
271,2,-1000,-40479,1,0,-0.0805425643920898,0,0,15.5771179199219,0
272,1,110400,114656,-1,0,-0.032496452331543,0,0,0.868236541748047,0
273,2,16500,26132,1,0,0.239730834960938,0,0,23.4933624267578,0
274,1,-1500,-5494,-1,0,0.0523862838745117,0,0,10.7252311706543,0
275,1,-6337,-7400,-1,0,0.00905323028564453,-1,0,6.9969367980957,0
276,1,-4125,-87272,-1,0,-0.10413122177124,0,0,11.2359580993652,0
277,2,1500,53826,1,0,0.509626388549805,-1,0,10.9805908203125,0
278,2,-3000,211086,1,0,0,0,0,16.1899948120117,0
279,1,-45817,-88314,-1,0,0.0469598770141602,0,-1,10.7763042449951,0
280,1,-3000,-54991,-1,0,-0.0706620216369629,0,0,9.75485038757324,0
281,2,11750,48335,1,0,0.421670913696289,0,0,9.09091186523438,0
282,1,-25800,-34300,-1,0,-0.177093982696533,0,0,4.90296173095703,0
283,1,-14200,-74475,-1,0,-0.0681238174438477,0,0,0.0510716438293457,0
284,2,5500,225728,1,0,0.172515869140625,-1,1,14.4535217285156,0
285,1,-28750,-53050,-1,0,-0.35239839553833,0,0,9.19305229187012,0
286,1,85750,6225,-1,0,-0.10688304901123,0,0,2.80898857116699,0
287,1,-13700,-26944,-1,0,-0.0271015167236328,0,0,2.29826354980469,0
288,2,-4000,160943,1,0,0.120871067047119,0,0,9.14198303222656,0
289,1,99235,28184,-1,0,-0.208272933959961,0,0,7.96731185913086,0
290,1,-6473,-550,-1,0,-0.0958251953125,-1,0,1.37895774841309,0
291,2,9700,68970,1,0,0.637258529663086,0,0,6.99694061279297,0
292,1,95077,8831,-1,0,-0.170514345169067,0,0,7.5587329864502,0
293,2,500,43599,1,0,0.337222576141357,0,0,-1.94075775146484,0
