candname,party,chLab,chbus,chmaj,chdem,chsafe,chfrosh,chprest,chvotrec,inlead
Ron Kind (D),D,-26468.3,275752.103,1,0,0.030018283,0,1,0,0
Sam Graves (R),R,11078.153,267570.15,-1,0,-0.004914525,0,0,0.899999976,0
"Giffords, Gabrielle",D,1796.517,265682.583,1,0,0,0,0,0,0
Mike Ross (D),D,-21140.75,264471.175,1,0,0,0,0,-0.100000001,0
John Lewis (D),D,63949.5,255813.776,1,0,0,0,0,0.100000001,0
Jon Porter (R),R,15893.977,251738.463,-1,0,-0.025745226,-1,1,0,0
Tim Walberg (R),R,1097.544,248317.903,-1,0,0,0,0,0,0
Rick Boucher (D),D,-985.35,248236.413,1,0,0.025239032,0,0,-1.100000024,0
Earl Pomeroy (D),D,-19688.06,241556.31,1,0,0.02122926,0,0,-0.699999988,0
Dan Boren (D),D,-67404.373,240261.225,1,0,0.021462284,-1,0,0,0
David R Obey (D),D,63473.95,234544.175,1,0,0,0,0,0.300000012,0
Debbie Wasserman Schultz (D),D,22704.2,231755.445,1,0,0,-1,0,0,0
Joseph Crowley (D),D,-21263.625,231081.26,1,0,0.007960488,0,1,0.800000012,0
John Tanner (D),D,-7943,228556.875,1,0,-0.003474983,0,0,1.100000024,0
"Boehner, John A.",R,0,225659.775,-1,0,0,0,0,0,0
Frank Pallone Jr (D),D,-22488.125,224440.365,1,0,0.002875313,0,0,4.099999905,0
Jim Marshall (D),D,-27593.946,211008.161,1,0,0.157718673,-1,0,-62.90000153,0
Allen Boyd (D),D,5870,207998.896,1,0,0,0,-1,0.100000001,0
Jim Matheson (D),D,-25681.5,205329.055,1,0,0.020059876,0,0,0,0
John Shadegg (R),R,66.129,205118.2,-1,0,0,0,0,2.400000095,0
James L Oberstar (D),D,-413.903,201158.139,1,0,-0.006824962,0,0,-0.200000003,0
G K Butterfield (D),D,7363,201081.895,1,0,0,-1,0,0,0
Shelley Berkley (D),D,22531.493,197983.939,1,0,-0.001401772,0,1,0.200000003,0
Earl Blumenauer (D),D,2500.85,196108.373,1,0,0.002409112,0,1,2.799999952,0
Mario Diaz-Balart (R),R,6641.5,193664.008,-1,0,0,-1,0,0,0
Edwin G Perlmutter (D),D,-84898.775,190096.992,1,0,0,0,0,0,0
Tom Feeney (R),R,987,189039.693,-1,0,0,-1,0,0,0
Nydia M Velazquez (D),D,17019,188296.5,1,0,0.008590974,0,0,-0.699999988,0
Louise M Slaughter (D),D,34182,183839.051,1,0,-0.004018376,0,0,2.299999952,0
Tom Latham (R),R,11690.834,177947.645,-1,0,-0.013837317,0,0,0.200000003,0
Thad McCotter (R),R,81836.75,169409.801,-1,0,-0.009253733,-1,0,0,0
Tim Ryan (D),D,9743.675,166251.35,1,0,0,0,0,0,0
John B Larson (D),D,-21019.35,163902.677,1,0,0.004354295,0,0,2,0
"Buchanan, Vern",R,0,162958.949,-1,0,0,0,0,0,0
Pete Stark (D),D,11079.75,162382.125,1,0,-5.96E-05,0,0,1,0
Bart Stupak (D),D,37195.2,161552.263,1,0,0.014434554,0,0,0.699999988,0
John L Mica (R),R,620,157618.325,-1,0,0,0,0,1.299999952,0
Jerry F Costello (D),D,31084.99,155567.297,1,0,0,0,0,1.899999976,0
Mark E Souder (R),R,7114.296,153408.35,-1,0,-0.052758012,0,0,0,0
Sanford D Bishop Jr (D),D,1539,149707.4,1,0,0.003507788,0,0,-0.699999988,0
Charlie Dent (R),R,259.284,146647.517,-1,0,-0.017464664,-1,0,0,0
Wally Herger (R),R,0,143964.708,-1,0,-0.001430348,0,0,1.299999952,0
Anna Eshoo (D),D,15987.25,142740.874,1,0,0.006381545,0,0,-0.200000003,0
Bill Pascrell Jr (D),D,-7045.825,142530.95,1,0,0.001936313,0,1,2.099999905,0
Gene Green (D),D,5855.825,142089.525,1,0,0,0,0,-0.200000003,0
George Miller (D),D,-4942.25,141111.151,1,0,0,0,0,1.299999952,0
Carolyn B Maloney (D),D,-9273.375,140067.629,1,0,0.008975574,0,0,-0.100000001,0
Dutch Ruppersberger (D),D,7622.94,139854.89,1,0,0.002536614,-1,0,0,0
John Culberson (R),R,-3237.5,139335.686,-1,0,-0.017847316,0,0,-1.600000024,0
"Bachmann, Michele",R,0,136698.35,-1,0,0,0,0,0,0
David Scott (D),D,20356.5,136672.271,1,0,0,-1,0,0,0
John Conyers Jr (D),D,-3407.8,136530.37,1,0,-0.0015191,0,0,-0.400000006,0
Rick Larsen (D),D,24414.8,135119.839,1,0,-0.004669503,0,0,0.5,0
Robin Hayes (R),R,620,133107.816,-1,0,-0.022248255,0,0,-0.5,0
Judy Biggert (R),R,14934,131004.223,-1,0,-0.023568358,0,0,2.5,0
"Cohen, Steve",D,987,130975.242,1,0,0,0,0,0,0
Daniel Lipinski (D),D,27490.39,126116.492,1,0,0.008092975,0,0,0,0
Lincoln Diaz-Balart (R),R,4109.5,125799.763,-1,0,0,0,0,3.400000095,0
Robert Wexler (D),D,32214.69,125355.81,1,0,0,0,0,1.200000048,0
Carolyn Cheeks Kilpatrick (D),D,-8217.05,124887.357,1,0,0,0,0,0.100000001,0
Rosa L DeLauro (D),D,23827.15,124619.75,1,0,0.008169658,0,0,0.899999976,0
Dennis Moore (D),D,-28063.5,123455.632,1,0,0.035403326,0,0,-0.699999988,0
Patrick J Tiberi (R),R,-2833.5,122763.057,-1,0,0,0,0,0,0
Kay Granger (R),R,-2405,120362.6,-1,0,-0.012432881,0,0,2.700000048,0
Devin Nunes (R),R,987,120082.476,-1,0,-0.012654988,-1,1,0,0
Dennis Cardoza (D),D,-9286,119434.773,1,0,-0.006568025,-1,1,0,0
Bob Etheridge (D),D,-10425.25,118592.75,1,0,0.014265898,0,0,0.100000001,0
Marion Berry (D),D,-12254.8,116326.97,1,0,0.008803367,0,-1,1.799999952,0
Gregory W Meeks (D),D,14675.25,116156.555,1,0,0,0,0,-2.700000048,0
William L Clay Jr (D),D,31613.6,115223.309,1,0,-0.005761786,0,0,0.5,0
Tom Petri (R),R,-10930,115068.845,-1,0,0,0,0,3.5,0
Joe Baca (D),D,60724,114808.028,1,0,-0.006230517,0,0,1.5,0
Michael E Capuano (D),D,-13085.625,113502.044,1,0,0,0,0,-1.799999952,0
Neil Abercrombie (D),D,15000.24,112812.665,1,0,0.014235301,0,0,-1,0
Paul Ryan (R),R,720.5,111029.199,-1,0,-0.013415881,0,0,2.799999952,0
Jerrold Nadler (D),D,15692.575,110710.2,1,0,0.014767769,0,0,-1.100000024,0
Gresham Barrett (R),R,34485.44,109842.25,-1,0,0,-1,0,0,0
David Price (D),D,-22210,108240.109,1,0,0.002952294,0,0,2.200000048,0
Zoe Lofgren (D),D,3157.6,107462.241,1,0,-0.000621043,0,0,0.600000024,0
Michael N Castle (R),R,8242,106549.673,-1,0,-0.034764182,0,0,3.200000048,0
Mike Thompson (D),D,-5258.1,106498.899,1,0,-0.002323482,0,0,-1.299999952,0
Eric Cantor (R),R,-4222,105699.156,-1,0,0,0,0,2.5,0
Fred Upton (R),R,34206.5,105599.726,-1,0,-0.018061174,0,0,1.899999976,0
Solomon P Ortiz (D),D,8533.725,105287.995,1,0,-0.017805103,0,0,0,0
Michael McCaul (R),R,1697.5,105103.442,-1,0,0,-1,0,0,0
Tim Murphy (R),R,26168.837,104830,-1,0,-0.017726788,-1,0,0,0
Collin C Peterson (D),D,4057.272,104230.418,1,0,0.014253125,0,0,1.399999976,0
Alcee L Hastings (D),D,105722.05,103775.25,1,0,0,0,0,-1.100000024,0
Virgil H Goode Jr (R),R,0,103266.213,-1,0,-0.014155814,0,0,0,0
Pete Visclosky (D),D,12929.825,102753.95,1,0,0.012063642,0,0,0.300000012,0
Kevin Brady (R),R,-10914,102473.363,-1,0,-0.008314918,0,0,1.5,0
Ike Skelton (D),D,38690.8,101733.7,1,0,0.008087131,0,0,0.600000024,0
Silvestre Reyes (D),D,-43553,101376.35,1,0,0,0,0,0.300000012,0
Jay Inslee (D),D,-43619.25,100670.169,1,0,0.014312756,0,0,3.200000048,0
Jesse Jackson Jr (D),D,81049.64,99997.397,1,0,0,0,0,-0.899999976,0
Peter DeFazio (D),D,4717.85,98798.913,1,0,0.001638593,0,0,1.200000048,0
Bruce Braley (D),D,-74927.787,98432.813,1,0,0,0,0,0,0
Eddie Bernice Johnson (D),D,43994.95,98341.95,1,0,0,0,0,-0.100000001,0
Henry A Waxman (D),D,-7282,98287.2,1,0,0.005344551,0,0,0,0
Barney Frank (D),D,25699.775,97788.491,1,0,0,0,0,1,0
Keith Ellison (D),D,69708.297,95275.1,1,0,0,0,0,0,0
Mike Michaud (D),D,533.499,94482.75,1,0,0.03681476,-1,0,0,0
Joe Pitts (R),R,-4131.5,92629.45,-1,0,-0.021922324,0,0,2.5,0
Norm Dicks (D),D,40947,91948.65,1,0,0.005020447,0,0,0,0
Sander Levin (D),D,8671.8,91727.25,1,0,0.007247022,0,0,0,0
David Davis (R),R,6540.75,91678.65,-1,0,0,0,0,0,0
Howard L Berman (D),D,12372.1,91660.361,1,0,0.01177671,0,0,-0.699999988,0
Steven R Rothman (D),D,-21600.925,91082.175,1,0,0.012673111,0,-1,1.700000048,0
Lincoln Davis (D),D,-9888.675,90501.319,1,0,0.038195122,-1,0,0,0
Betty McCollum (D),D,46149.415,90442.215,1,0,0.020720193,0,0,0.400000006,0
Charlie A Gonzalez (D),D,-29734,84094.138,1,0,0,0,0,-0.400000006,0
Wayne T Gilchrest (R),R,35100.5,83034.196,-1,0,0,0,0,0,0
Scott Garrett (R),R,-431.5,82605.425,-1,0,-0.010398311,-1,0,0,0
Lloyd Doggett (D),D,27046.55,82513.224,1,0,0.009728812,0,0,1,0
John R Kuhl Jr (R),R,-29317.178,82269.398,-1,0,-0.015967801,-1,0,0,0
Yvette D Clarke (D),D,17336.875,82083.5,1,0,0,0,0,0,0
Todd Tiahrt (R),R,1175.5,81650,-1,0,-0.009267324,0,0,-1.100000024,0
Mike Conaway (R),R,-925,81605.576,-1,0,0,-1,0,0,0
Tom Cole (R),R,10333.75,81263.75,-1,0,0,-1,0,0,0
Lee Terry (R),R,18753,80391.418,-1,0,-0.030228555,0,0,0.200000003,0
Diana DeGette (D),D,22300.75,77281.725,1,0,0,0,0,-1.100000024,0
Leonard L Boswell (D),D,-48163.32,77134.93,1,0,-0.010063412,0,0,1.600000024,0
John M McHugh (R),R,-6977,76821.625,-1,0,-0.024430722,0,0,0.200000003,0
"Hirono, Mazie K.",D,0,76121.9,1,0,0,0,0,0,0
Ileana Ros-Lehtinen (R),R,9659.5,75342.225,-1,0,-0.008826559,0,0,2,0
John W Olver (D),D,21457.425,75183.314,1,0,0,0,0,1.399999976,0
John P Murtha (D),D,25767.625,75159.65,1,0,0,0,0,-0.200000003,0
Jim McDermott (D),D,10309.75,74775.197,1,0,0.007388526,0,0,1.799999952,0
John M Shimkus (R),R,-13023,74439.822,-1,0,-0.028914552,-1,0,2.700000048,0
Ben Chandler (D),D,-22354.135,74004.425,1,0,0,-1,0,0,0
Ed Pastor (D),D,35418.69,73512.075,1,0,0.005819493,0,0,1.100000024,0
Peter Roskam (R),R,32144.5,73171.025,-1,0,0,0,0,0,0
Elijah E Cummings (D),D,-5405.06,73044,1,0,0,0,0,-0.5,0
Brian Baird (D),D,-34586.509,72538.365,1,0,0.004144806,0,0,-3.799999952,0
Mike Simpson (R),R,3454.5,72226.363,-1,0,-0.020726001,0,-1,-0.600000024,0
Corrine Brown (D),D,-411.75,71986.765,1,0,0,0,0,-0.800000012,0
Henry Brown (R),R,-584,71870.17,-1,0,0,0,0,-0.600000024,0
Edward J Markey (D),D,-26228.825,71570.462,1,0,0,0,0,0.800000012,0
C W Bill Young (R),R,6909,71312.958,-1,0,-0.010915292,0,0,1.100000024,0
Phil Hare (D),D,-101825.4,70896.61,1,0,0,0,0,0,0
Jerry Moran (R),R,8237,70723.399,-1,0,0,0,0,0.600000024,0
Sheila Jackson Lee (D),D,54202.575,70066.925,1,0,0,0,0,1.100000024,0
Tim Holden (D),D,-15417.075,69793.075,1,0,0.01477132,-1,0,0.300000012,0
Russ Carnahan (D),D,-237889.65,69111.625,1,0,0.048415359,-1,0,0,0
Michael Burgess (R),R,-925,68727.35,-1,0,-0.016867381,-1,0,0,0
Susan A Davis (D),D,3586,66337.5,1,0,-0.001165525,0,0,0.300000012,0
Randy Neugebauer (R),R,524.5,64339.079,-1,0,0.034218919,-1,0,0,0
Bill Shuster (R),R,7038,64138.675,-1,0,-0.03081012,0,0,0.5,0
Tammy Baldwin (D),D,-3688.55,60345.07,1,0,-0.001503799,0,0,0.300000012,0
Brad Sherman (D),D,18692.15,58791.873,1,0,0.011655762,0,0,2.700000048,0
Douglas L Lamborn (R),R,0,58643.9,-1,0,0,0,0,0,0
Gene Taylor (D),D,10368.5,58018.25,1,0,0.044378377,0,0,1.899999976,0
Mike Rogers (R),R,7403.5,57879.488,-1,0,-0.022169087,0,0,1.5,0
Sam Farr (D),D,11419.7,57179.075,1,0,0.022185076,0,0,1.600000024,0
Jim Moran (D),D,3700.9,57164.89,1,0,0.019672284,0,0,1.100000024,0
Greg Walden (R),R,-8715.5,54482.683,-1,0,-0.014912314,0,0,1.200000048,0
Patrick J Kennedy (D),D,-31329.2,54182.508,1,0,0.033649519,0,-1,0,0
Jim Costa (D),D,-5861,54113.75,1,0,0,-1,0,0,0
Hal Rogers (R),R,-7276,53920.3,-1,0,0,0,0,1.899999976,0
James P McGovern (D),D,-11862.575,53321.59,1,0,0,0,0,0.699999988,0
Lamar Smith (R),R,0,52687.507,-1,0,0,0,0,1.600000024,0
Jo Bonner (R),R,2160,51632.2,-1,0,0.016523045,-1,0,0,0
Charles J Melancon (D),D,-85600.575,50975.499,1,0,0.030318784,-1,0,0,0
Timothy H Bishop (D),D,-26641,50199.381,1,0,0.022147132,-1,0,0,0
Adam Smith (D),D,-37375.3,50125.629,1,0,0.003131686,0,0,0.400000006,0
Robert C Scott (D),D,-14153.85,49042.382,1,0,0,0,0,-0.100000001,0
Ed Royce (R),R,0,47946.396,-1,0,0.001844719,0,0,-0.100000001,0
Loretta Sanchez (D),D,-7814.25,47690.36,1,0,0.006902403,0,0,0.800000012,0
Doc Hastings (R),R,-863,47325.375,-1,0,-0.00937158,0,1,0.899999976,0
Ken Calvert (R),R,0,46774.239,-1,0,-0.006735493,0,1,2,0
Barbara Lee (D),D,38844.2,46366.05,1,0,0.004009317,0,1,-0.600000024,0
"Jordan, Jim",R,0,46357.7,-1,0,0,0,0,0,0
Marcy Kaptur (D),D,17843.825,46357.7,1,0,0.016862737,0,-1,1.100000024,0
Maurice Hinchey (D),D,11056.275,46305.25,1,0,0,0,-1,0.899999976,0
Donald M Payne (D),D,20407.4,45780.388,1,0,0,0,0,-0.200000003,0
Phil Gingrey (R),R,62,44152.913,-1,0,0.046384428,-1,-1,0,0
Candice S Miller (R),R,14794.5,43337.213,-1,0,-0.00635049,-1,0,0,0
Lois Capps (D),D,-16479.25,43016.075,1,0,0.001504748,0,0,3.799999952,0
Ed Whitfield (R),R,5428.5,42888.855,-1,0,-0.02668477,0,0,1.399999976,0
Mike Doyle (D),D,27175.425,42475.225,1,0,0,0,0,2.400000095,0
